path	domain_tag	asset_type	fill	types
georeference_data.distances.primary_schools[].coordinates	identity_location		15/300	object
georeference_data.distances.primary_schools[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.primary_schools[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.primary_schools[].distance_km	identity_location		15/300	float
georeference_data.distances.primary_schools[].distance_meters	identity_location		15/300	int
georeference_data.distances.primary_schools[].name	identity_location		15/300	str
georeference_data.distances.primary_schools[].place_id	identity_location		12/300	str
georeference_data.distances.primary_schools[].rating	identity_location		12/300	null
georeference_data.distances.primary_schools[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.public_transport	identity_location		15/300	array[object]
georeference_data.distances.public_transport[].coordinates	identity_location		15/300	object
georeference_data.distances.public_transport[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.public_transport[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.public_transport[].distance_km	identity_location		15/300	float
georeference_data.distances.public_transport[].distance_meters	identity_location		15/300	int
georeference_data.distances.public_transport[].name	identity_location		15/300	str
georeference_data.distances.public_transport[].place_id	identity_location		12/300	str
georeference_data.distances.public_transport[].rating	identity_location		12/300	float
georeference_data.distances.public_transport[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.secondary_schools	identity_location		15/300	array[object]
georeference_data.distances.secondary_schools[].coordinates	identity_location		15/300	object
georeference_data.distances.secondary_schools[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.secondary_schools[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.secondary_schools[].distance_km	identity_location		15/300	float
georeference_data.distances.secondary_schools[].distance_meters	identity_location		15/300	int
georeference_data.distances.secondary_schools[].name	identity_location		15/300	str
georeference_data.distances.secondary_schools[].place_id	identity_location		12/300	str
georeference_data.distances.secondary_schools[].rating	identity_location		12/300	null
georeference_data.distances.secondary_schools[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.shopping_malls	identity_location		15/300	array[object]
georeference_data.distances.shopping_malls[].coordinates	identity_location		15/300	object
georeference_data.distances.shopping_malls[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.shopping_malls[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.shopping_malls[].distance_km	identity_location		15/300	float
georeference_data.distances.shopping_malls[].distance_meters	identity_location		15/300	int
georeference_data.distances.shopping_malls[].name	identity_location		15/300	str
georeference_data.distances.shopping_malls[].place_id	identity_location		12/300	str
georeference_data.distances.shopping_malls[].rating	identity_location		12/300	float/null
georeference_data.distances.shopping_malls[].user_ratings_total	identity_location		12/300	int
georeference_data.distances.supermarkets	identity_location		15/300	array[object]
georeference_data.distances.supermarkets[].coordinates	identity_location		15/300	object
georeference_data.distances.supermarkets[].coordinates.latitude	identity_location		15/300	float
georeference_data.distances.supermarkets[].coordinates.longitude	identity_location		15/300	float
georeference_data.distances.supermarkets[].distance_km	identity_location		15/300	float
georeference_data.distances.supermarkets[].distance_meters	identity_location		15/300	int
georeference_data.distances.supermarkets[].name	identity_location		15/300	str
georeference_data.distances.supermarkets[].place_id	identity_location		12/300	str
georeference_data.distances.supermarkets[].rating	identity_location		12/300	float/int
georeference_data.distances.supermarkets[].user_ratings_total	identity_location		12/300	int
georeference_data.last_updated	identity_location		15/300	datetime
georeference_data.summary_stats	identity_location		15/300	object
georeference_data.summary_stats.airport_distance_km	identity_location		15/300	float
georeference_data.summary_stats.closest_beach_km	identity_location		15/300	float
georeference_data.summary_stats.closest_childcare_km	identity_location		12/300	null
georeference_data.summary_stats.closest_hospital_km	identity_location		15/300	float
georeference_data.summary_stats.closest_primary_school_km	identity_location		15/300	float
georeference_data.summary_stats.closest_secondary_school_km	identity_location		15/300	float
georeference_data.summary_stats.closest_supermarket_km	identity_location		15/300	float
georeference_data.summary_stats.total_amenities_within_1km	identity_location		15/300	int
georeference_data.summary_stats.total_amenities_within_2km	identity_location		15/300	int
georeference_data.summary_stats.total_amenities_within_5km	identity_location		15/300	int
history	other		4/300	object
history.agents_description	listing_scrape		4/300	array[object]
history.agents_description[].recorded_at	listing_scrape		4/300	datetime
history.agents_description[].value	listing_scrape		4/300	str
history.inspection_times	other		3/300	array[object]
history.inspection_times[].recorded_at	other		3/300	datetime
history.inspection_times[].value	other		3/300	array[str]
history.price	other		4/300	array[object]
history.price[].recorded_at	other		4/300	datetime
history.price[].value	other		4/300	str
house_plan	other		38/300	object
house_plan.confidence_score	valuation		38/300	float
house_plan.floor_area_source	physical_attributes		38/300	str
house_plan.floor_area_sqm	physical_attributes		38/300	float/int/null
house_plan.number_of_levels	other		38/300	int
house_plan.plans_details	other		38/300	array[object]
house_plan.plans_details[].confidence_score	valuation		38/300	float
house_plan.plans_details[].dimensions	other		38/300	null/str
house_plan.plans_details[].floor_area_source	physical_attributes		38/300	str
house_plan.plans_details[].floor_area_sqm	physical_attributes		38/300	float/int/null
house_plan.plans_details[].image_index	images_assets	floor_plan	38/300	int
house_plan.plans_details[].is_floor_plan	images_assets	floor_plan	38/300	bool
house_plan.urls	other		38/300	array[str]
image_analysis	images_assets	facade_gallery	9/300	array[]
image_derivative_widths	images_assets	facade_gallery	6/300	array[int]
image_history	images_assets	facade_gallery	10/300	array[object]
image_history[].blob_prefix	images_assets	facade_gallery	10/300	str
image_history[].captured_at	images_assets	facade_gallery	10/300	str
image_history[].floor_plan_count	images_assets	floor_plan	10/300	int
image_history[].image_count	images_assets	facade_gallery	10/300	int
image_history[].listing_url	images_assets	facade_gallery	10/300	str
image_history[].source	images_assets	facade_gallery	10/300	str
image_history[].urls	images_assets	facade_gallery	10/300	array[str]
images_blob_uploaded_at	images_assets	facade_gallery	243/300	str
images_uploaded_to_blob	images_assets	facade_gallery	243/300	bool
inspection_times	other		8/300	array[str]
is_strata_title	other		192/300	bool
is_waterfront	other		7/300	bool
land_size	physical_attributes		1/300	str
land_size_sqm	physical_attributes		64/300	int
